claim,label,num_filtered_A,num_filtered_B,approx_tokens_A,approx_tokens_B,jaccard,overlap_at_minK,delta_kept,delta_tokens,reasoning_type
Big Hero 6 is a Disney Studios Motion Picture which stars Filip Nola and has Origin (Angel) as a character.,0,10,10,159.0,159.0,1.0,1.0,0,0.0,multi claim
I wasn’t aware that Bhajji does not come from the Karnataka region and its leader is not Vajubhai Vala.,0,10,10,159.0,159.0,1.0,1.0,0,0.0,multi claim
"Big Hero 6, a film distributed by Walt Disney Studios Motion Pictures, starred Jamie Chung and included the character Baymax.",1,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
"A Severed Wasp has 388 pages, can be found in print and has the OCLC number 8805735.",1,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
"Stuart Parker is a footballer with the Grand Rapids Hornets, also plays for Botswana Defence Force XI FC and has managed AFC Blackpool.",0,10,10,159.0,159.0,1.0,1.0,0,0.0,multi claim
"Alvah Sabin was born in Georgia, Vermont and belongs to the United States Whig party which is led by Basil Brooke, 1st Viscount Brookeborough.",0,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
"Bhajji originates from India, where T. S. Thakur and Sumitra Mahajan are leaders.",1,10,10,159.0,159.0,1.0,1.0,0,0.0,multi claim
The Bakewell pudding comes from the Suva region in Derbyshire.,0,10,10,159.0,159.0,1.0,1.0,0,0.0,multi claim
Duncan Rouleau created Tsathoggua for Big Hero 6.,0,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
Well William Anders was born in British Hong Kong but is a United States national.,1,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
"Yes, Baymax was not created by Duncan Rouleau or Steven T. Seagle.",0,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
"While the leader of India is Lopon Khenpo Sonam Tenphel, another leader is TS Thakur, and Amdavad ni Gufa is a location in India.",0,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
"Pierre J. Thuot, who graduated with an M.S., from AFIT in 1962, served as a crew member on Apollo 8 alongside Frank Borman.",0,10,10,159.0,159.0,1.0,1.0,0,0.0,multi claim
"Agra airport is operated by the Indian Air Force, using HAL light combat helicopters and Bell 212HP.",0,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
The College of William and Mary is the owner of the Georgian styled Alan B. Miller Hall in Coalgate.,0,10,10,159.0,159.0,0.8181818181818182,0.9,0,0.0,multi claim
"103 Colmore Row was originally designed by John Madin, not in Birmingham.",0,10,10,159.0,159.0,1.0,1.0,0,0.0,multi claim
